,id,order,value
5788,2030,Hero,2.0
5789,2031,Hero,7.0
5790,2032,Hero,1.0
5793,2035,Hero,6.0
5794,2036,Hero,1.0
5796,2038,Hero,7.0
5797,2039,Hero,2.0
5801,2043,Hero,1.0
5802,2044,Hero,12.0
5805,2047,Hero,19.0
5807,2049,Hero,1.0
5808,2050,Hero,2.0
5812,2054,Hero,1.0
5813,2055,Hero,13.0
5814,2056,Hero,6.0
5817,2059,Hero,2.0
5820,2062,Hero,2.0
5821,2063,Hero,2.0
5823,2065,Hero,1.0
5824,2066,Hero,7.0
5825,2067,Hero,11.0
5826,2068,Hero,2.0
5830,2072,Hero,1.0
5831,2073,Hero,2.0
5832,2074,Hero,2.0
5833,2075,Hero,6.0
5835,2077,Hero,1.0
5836,2078,Hero,2.0
5841,2083,Hero,1.0
5842,2084,Hero,2.0
5847,2089,Hero,1.0
5848,2090,Hero,2.0
5851,2093,Hero,2.0
5853,2095,Hero,1.0
5854,2096,Hero,9.0
5858,2100,Hero,19.0
5860,2102,Hero,1.0
5861,2103,Hero,2.0
5863,2105,Hero,133.0
5864,2106,Hero,2.0
5865,2107,Hero,2.0
5870,2112,Hero,7.0
5871,2113,Hero,10.0
5873,2115,Hero,1.0
5877,2119,Hero,2.0
5878,2120,Hero,1.0
5881,2123,Hero,2.0
5883,2125,Hero,1.0
5886,2128,Hero,2.0
5889,2131,Hero,2.0
5890,2132,Hero,1.0
5892,2134,Hero,7.0
5894,2136,Hero,1.0
5896,2138,Hero,1.0
5897,2139,Hero,12.0
5898,2140,Hero,2.0
5899,2141,Hero,11.0
5902,2144,Hero,1.0
5903,2145,Hero,2.0
5904,2146,Hero,30.0
5907,2149,Hero,1.0
5908,2150,Hero,2.0
5911,2153,Hero,2.0
5913,2155,Hero,1.0
5917,2159,Hero,92.0
5919,2161,Hero,2.0
5922,2164,Hero,1.0
5924,2166,Hero,1.0
5926,2168,Hero,1.0
5932,2174,Hero,2.0
5933,2175,Hero,1.0
5938,2180,Hero,1.0
5939,2181,Hero,2.0
5940,2182,Hero,2.0
5943,2185,Hero,1.0
5944,2186,Hero,2.0
5951,2193,Hero,1.0
5952,2194,Hero,6.0
5956,2198,Hero,2.0
5957,2199,Hero,1.0
5963,2205,Hero,7.0
5964,2206,Hero,1.0
5965,2207,Hero,86.0
5966,2208,Hero,1.0
5967,2209,Hero,2.0
5972,2214,Hero,19.0
5974,2216,Hero,1.0
5976,2218,Hero,7.0
5980,2222,Hero,17.0
